restaurant_key,business_name,aka_name,license_number,street_address,city,state,zip
8589951492,LEE'S UNLEADED BLUES,LEE'S UNLEADED BLUES,2924591.0,7401 S SOUTH CHICAGO AVE,CHICAGO,IL,60619
8589951493,BRONZEVILLE CONVENIENCE MART INC.,BRONZEVILLE CONVENIENCE MART,2148047.0,450 E 43RD ST,CHICAGO,IL,60653
8589951494,"CAKES & BEYOND, INC.","CAKES & BEYOND, INC.",2458798.0,6126 W BELMONT AVE,CHICAGO,IL,60634
8589951495,"ZAZA'S DELI, INC.",ZAZA'S DELI,2807744.0,3055 N MILWAUKEE AVE,CHICAGO,IL,60618
8589951496,EL TACO AZTECA BRIDGEPORT,THE ADELITAS,2689436.0,3355 S MORGAN ST,CHICAGO,IL,60608
8589951497,WINSTON MANOR NURSING HOME,WINSTON MANOR NURSING HOME,2205116.0,2155 W PIERCE AVE,CHICAGO,IL,60622
8589951498,RAVENSWOOD,RAVENSWOOD ELEMENTARY SCHOOL,25061.0,4332 N Paulina ST,CHICAGO,IL,60613
8589951499,DIR NUTRICION,DIR NUTRICION,2141424.0,4821 W DIVERSEY,CHICAGO,IL,60639
8589951500,SUSHI MURA CHICAGO,SUSHI MURA CHICAGO,2905970.0,3647 N SOUTHPORT AVE,CHICAGO,IL,60613
8589951501,AUGUSTUS TOLTON CATHOLIC ACADEMY,AUGUSTUS TOLTON CATHOLIC ACADEMY,3450635.0,7120 S CALUMET AVE,CHICAGO,IL,60619
8589951502,BARCOCINA,BARCOCINA,2856258.0,1814 W CHICAGO AVE,CHICAGO,IL,60622
8589951503,CHARTWELLS THOMPSON HOSPITALITY,JOHNSON COLLEGE PREP,2202626.0,6350 S Stewart (400W),CHICAGO,IL,60621
8589951504,ARAMARK@LOYOLA HALAS CAFE,ROLLIN'  N  BOWLIN',2340704.0,6458 N WINTHROP AVE,CHICAGO,IL,60626
8589951505,CHIPMONKS,CHIPMONKS,2688790.0,438 W DIVERSEY PKWY,CHICAGO,IL,60614
8589951506,EL GALLO ORO,EL GALLO ORO,24692.0,2952 W 63RD ST,CHICAGO,IL,60629
8589951507,ATWOOD,ATWOOD,2501419.0,1 W WASHINGTON ST,CHICAGO,IL,60602
8589951508,JESUS MORALES EXPRESSIVE ARTS VANGUARD,,,1400 WALMSLEY AVE,DALLAS,TX,75208
8589951509,CARRABBA'S ITALIAN GRILL,,,17548 N DALLAS PKWY,DALLAS,TX,75287
8589951510,E-Z STOP #1,,,2809 S LANCASTER RD,DALLAS,TX,75216
8589951511,RAISING CANE'S,,,13350 DALLAS PKWY #3680,DALLAS,TX,75240
8589951512,TACO GRANDE,,,2927 LOMBARDY LN,DALLAS,TX,75220
8589951513,TAQUERIA MI PUEBLO III INC.,TAQUERIA MI PUEBLO III INC.,2966309.0,2459 W 51ST ST,CHICAGO,IL,60632
8589951514,ANDINA COMFORT FOOD,ANDINA COMFORT FOOD,2997252.0,2325 W TAYLOR ST,CHICAGO,IL,60612
8589951515,"PENINSULA CHICAGO, LLC",SPA/19TH FLOOR,1167940.0,108 E SUPERIOR ST,CHICAGO,IL,60611
8589951516,AUSTIN SWEETS SHOP LLC,AUSTIN SWEETS SHOP,2835346.0,1550 N MASON AVE,CHICAGO,IL,60639
8589951517,ADA S MCKINLEY,ADA S MCKINLEY,2275652.0,661 E 69TH ST,CHICAGO,IL,60637
8589951518,LA CAFFE LTD,LA CAFFE,25534.0,3502 N HARLEM AVE,CHICAGO,IL,60634
8589951519,CMB CATERING,CMB CATERING,2929152.0,2853 N KEDZIE AVE,CHICAGO,IL,60618
8589951520,CHICAGO EATS SPORTS BAR,CHICAGO EATS SPORTS BAR,2657985.0,5312 W CHICAGO AVE,CHICAGO,IL,60651
8589951521,HOLY CROSS HOSPITAL,HOLY CROSS HOSPITAL PT KITCHEN,14431.0,2701 W 68TH ST,CHICAGO,IL,60629
8589951522,MR. GEES,MR. GEES,2269677.0,4436 W FULLERTON AVE,CHICAGO,IL,60639
8589951523,MANIERRE,MANIERRE,24311.0,1420 N Hudson (432W),CHICAGO,IL,60610
8589951524,FOLKLORE,FOLKLORE,1842767.0,2100-2102 W DIVISION ST,CHICAGO,IL,60622
8589951525,ALAIN LOCKE CHARTER ACADEMY,ALAIN LOCKE CHARTER ACADEMY,2206680.0,3141 W JACKSON BLVD,CHICAGO,IL,60612
8589951526,SMITH VILLAGE,SMITH VILLAGE,2319834.0,2320 W 113TH PL,CHICAGO,IL,60643
